MB_16S_ID,MG_ID,MB_18S_ID,Date,Station,SAMPLE_TYPE,Cast,Sample_type,Julian_Day,LAT,LON,DEPTH
IRS10,,,45456,10,Sediment,,DNA,2024165,53.3280513,-6.2069311,0
OBM01LaWDNA,OBM01LaWMG,,45863,1,Water,1,DNA,2025206,41.3945,2.2621,5
OBM01LbWDNA,,,45863,1,Water,1,DNA,2025206,41.3945,2.2621,45
OBM02OaWDNA,,,45863,2,Water,1,DNA,2025206,40.6889,2.8369,5
OBM02ObWDNA,,,45863,2,Water,1,DNA,2025206,40.6889,2.8369,82
OBM02OcWDNA,,,45863,2,Water,1,DNA,2025206,40.6889,2.8369,1000
OBM02OdWDNA,,,45863,2,Water,1,DNA,2025206,40.6889,2.8369,1550
OBM03OaWDNA,,,45864,3,Water,1,DNA,2025207,40.4691,4.5882,5
OBM03ObWDNA,,,45864,3,Water,1,DNA,2025207,40.4691,4.5882,96
OBM03OcWDNA,,,45864,3,Water,1,DNA,2025207,40.4691,4.5882,1000
OBM03OdWDNA,,,45864,3,Water,1,DNA,2025207,40.4691,4.5882,2650
OBM04LaWDNA,OBM04LaWMG,,45864,4,Water,1,DNA,2025207,39.8669,4.3762,6
OBM04LbWDNA,,,45864,4,Water,1,DNA,2025207,39.8669,4.3762,83
OBM05OaWDNA,,,45865,5,Water,1,DNA,2025208,39.2002,3.3018,5
OBM05ObWDNA,,,45865,5,Water,1,DNA,2025208,39.2002,3.3018,68
OBM05OcWDNA,,,45865,5,Water,1,DNA,2025208,39.2002,3.3018,1000
OBM05OdWDNA,,,45865,5,Water,1,DNA,2025208,39.2002,3.3018,1532
OBM06LaWDNA,OBM06LaWMG,,45865,6,Water,1,DNA,2025208,39.3911,2.5579,5
OBM06LbWDNA,,,45865,6,Water,1,DNA,2025208,39.3911,2.5579,74
OBM07OaWDNA,,,45865,7,Water,1,DNA,2025208,39.9553,2.0196,5
OBM07ObWDNA,,,45865,7,Water,1,DNA,2025208,39.9553,2.0196,69
OBM07OcWDNA,,,45865,7,Water,1,DNA,2025208,39.9553,2.0196,1000
OBM07OdWDNA,,,45865,7,Water,1,DNA,2025208,39.9553,2.0196,1396
OBM08LaWDNA,,,45866,8,Water,1,DNA,2025209,40.9927,1.1285,5
OBM08LbWDNA,,,45866,8,Water,1,DNA,2025209,40.9927,1.1285,58
OBM09LaWDNA,OBM09LaWMG,,45866,9,Water,1,DNA,2025209,40.7525,1.0468,5
OBM09LbWDNA,,,45866,9,Water,1,DNA,2025209,40.7525,1.0468,77
OBM10OaWDNA,,,45866,10,Water,1,DNA,2025209,40.0115,1.294,5
OBM10ObWDNA,,,45866,10,Water,1,DNA,2025209,40.0115,1.294,56
